URL,HTTP Status Code,Response Time (s),Crawl Timestamp,HTML Title,Canonical URL,robots Directive,Content Type,Page Size (Raw/Compressed Bytes),Page Size (Uncompressed Bytes)
https://a-z-animals.com/animals/alaskan-husky/,200,0.129,2025-10-11 19:37:52.149354+00:00,Alaskan Husky Animal Facts - Canis lupus - A-Z Animals,https://a-z-animals.com/animals/alaskan-husky/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,69359,323090
https://a-z-animals.com/animals/alaskan-klee-kai/,200,0.1,2025-10-11 19:37:54.253775+00:00,Alaskan Klee Kai Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/alaskan-klee-kai/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,68411,323483
https://a-z-animals.com/animals/alaskan-malamute/,200,0.138,2025-10-11 19:37:56.395642+00:00,Alaskan Malamute Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/alaskan-malamute/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,67339,314756
https://a-z-animals.com/animals/alaskan-pollock/,200,0.135,2025-10-11 19:37:58.534747+00:00,Alaskan Pollock Fish Facts - Gadus chalcogrammus - A-Z Animals,https://a-z-animals.com/animals/alaskan-pollock/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,60607,265304
https://a-z-animals.com/animals/alaskan-shepherd/,200,0.138,2025-10-11 19:38:00.676438+00:00,Alaskan Shepherd Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/alaskan-shepherd/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,65540,307393
https://a-z-animals.com/animals/albacore-tuna/,200,0.122,2025-10-11 19:38:02.803102+00:00,Albacore Tuna Fish Facts - Thunnus alalunga - A-Z Animals,https://a-z-animals.com/animals/albacore-tuna/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,59247,260833
https://a-z-animals.com/animals/albatross/,200,0.1,2025-10-11 19:38:04.907542+00:00,Albatross Bird Facts - Diomedeidae - A-Z Animals,https://a-z-animals.com/animals/albatross/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,65604,285385
https://a-z-animals.com/animals/albertonectes/,200,0.123,2025-10-11 19:38:07.034516+00:00,Albertonectes Animal Facts - Albertonectes vanderveldei  - A-Z Animals,https://a-z-animals.com/animals/albertonectes/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,59682,257319
https://a-z-animals.com/animals/albino-amelanistic-corn-snake/,200,0.108,2025-10-11 19:38:09.145659+00:00,Albino (Amelanistic) Corn Snake Animal Facts - Pantherophis guttatus - A-Z Animals,https://a-z-animals.com/animals/albino-amelanistic-corn-snake/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,62116,274200
https://a-z-animals.com/animals/aldabra-giant-tortoise/,200,0.099,2025-10-11 19:38:11.248991+00:00,Aldabra Giant Tortoise Animal Facts - Geochelone gigantea - A-Z Animals,https://a-z-animals.com/animals/aldabra-giant-tortoise/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,62748,280801
https://a-z-animals.com/animals/alligator-gar/,200,0.122,2025-10-11 19:38:13.374914+00:00,Alligator Gar Fish Facts - Atractosteus spatula - A-Z Animals,https://a-z-animals.com/animals/alligator-gar/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,62032,269686
https://a-z-animals.com/animals/alosaurus/,200,0.103,2025-10-11 19:38:15.481710+00:00,Allosaurus Animal Facts - Allosaurus fragilis - A-Z Animals,https://a-z-animals.com/animals/alosaurus/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,62555,274102
https://a-z-animals.com/animals/allosaurus/,200,0.135,2025-10-11 19:38:17.619683+00:00,Allosaurus Animal Facts - Allosaurus fragilis - A-Z Animals,https://a-z-animals.com/animals/allosaurus/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,61145,265316
https://a-z-animals.com/animals/alpaca/,200,0.144,2025-10-11 19:38:19.767729+00:00,Alpaca Animal Facts - Vicugna pacos - A-Z Animals,https://a-z-animals.com/animals/alpaca/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,62700,273629
https://a-z-animals.com/animals/alpine-dachsbracke/,200,0.107,2025-10-11 19:38:21.878857+00:00,Alpine Dachsbracke Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/alpine-dachsbracke/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,70124,331614
https://a-z-animals.com/animals/alpine-goat/,200,0.12,2025-10-11 19:38:24.002592+00:00,Alpine Goat Animal Facts - Capra aegagrus hircus - A-Z Animals,https://a-z-animals.com/animals/alpine-goat/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,61818,270449
https://a-z-animals.com/animals/alusky/,200,0.128,2025-10-11 19:38:26.133835+00:00,Alusky Dog Breed Complete Guide - A-Z Animals,https://a-z-animals.com/animals/alusky/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,70051,325313
https://a-z-animals.com/animals/amano-shrimp/,200,0.099,2025-10-11 19:38:28.237923+00:00,Amano Shrimp Animal Facts - Caridina multidentata - A-Z Animals,https://a-z-animals.com/animals/amano-shrimp/,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",text/html,60505,261896
